Gemeinde,Kanton,Einwohner,Fläche
Binn,VS,127,65.09
Binningen,BL,15771,4.48
Bioggio,TI,2689,6.45
Bioley-Magnoux,VD,230,4.31
Birmensdorf (ZH),ZH,6909,11.42
Birmenstorf (AG),AG,2962,7.76
Birr,AG,4598,5.05
Birrhard,AG,742,3.00
Birrwil,AG,1185,3.45
Birsfelden,BL,10396,2.58
Birwinken,TG,1330,12.26
Bischofszell,TG,5907,11.61
Bissone,TI,948,1.86
Bister,VS,34,5.80
Bitsch,VS,1035,5.86
Blatten,VS,296,90.54
Blauen,BL,689,7.09
Bleienbach,BE,734,5.67
Blenio,TI,1770,202.17
Blonay - Saint-Légier,VD,11732,31.24
Blumenstein,BE,1236,15.50
Böckten,BL,823,2.27
Bodio,TI,937,6.43
Boécourt,JU,923,12.32
Bofflens,VD,207,4.17
Bogis-Bossey,VD,847,2.43
Bois-d'Amont,FR,2312,12.28
Bolken,SO,590,2.13
Bolligen,BE,6308,16.59
Boltigen,BE,1249,77.08
Bonaduz,GR,3468,14.45
Boncourt,JU,1195,9.02
Bonfol,JU,663,13.61
Bönigen,BE,2569,15.08
Boningen,SO,793,2.80
Boniswil,AG,1520,2.37
Bonstetten,ZH,5610,7.44
Bonvillars,VD,489,7.49
Boppelsen,ZH,1472,3.94
Borex,VD,1153,1.96
Bosco/Gurin,TI,52,22.02
Bösingen,FR,3421,14.32
Bossonnens,FR,1501,4.10
Boswil,AG,2923,11.76
Bottens,VD,1331,6.94
Bottenwil,AG,823,5.05
Botterens,FR,670,4.24
Bottighofen,TG,2397,2.43
Bottmingen,BL,6875,2.98
Böttstein,AG,3982,7.45
Boudry,NE,6193,16.76
Bougy-Villars,VD,478,1.78
Boulens,VD,369,3.42
Bourg-en-Lavaux,VD,5391,9.68
Bourg-Saint-Pierre,VS,211,89.81
Bournens,VD,491,3.89
Bourrignon,JU,270,13.53
Boussens,VD,999,3.18
Bovernier,VS,911,13.11
Bowil,BE,1354,14.70
Bözberg,AG,1663,15.56
Böztal,AG,2755,22.30
Braunau,TG,801,9.16
Bregaglia,GR,1556,251.35
Breggia,TI,1926,25.58
Breil/Brigels,GR,1731,96.58
Breitenbach,SO,3979,6.84
Bremblens,VD,584,2.94
Bremgarten (AG),AG,8415,11.31
Bremgarten bei Bern,BE,4340,1.88
Brenzikofen,BE,481,2.20
Bretigny-sur-Morrens,VD,859,2.84
Bretonnières,VD,267,5.53
Bretzwil,BL,743,7.38
Brienz (BE),BE,3158,48.09
Brienzwiler,BE,481,17.63
Brig-Glis,VS,13221,37.68
Brione sopra Minusio,TI,480,3.79
Brislach,BL,1690,9.41
Brissago,TI,1685,17.78
Brittnau,AG,3968,13.65
Broc,FR,2662,10.06
Brot-Plamboz,NE,290,16.16
Brugg,AG,12738,8.26
Brügg,BE,4371,5.02
Brunegg,AG,866,1.51
Brünisried,FR,670,3.27
Brusino Arsizio,TI,451,4.18
Brusio,GR,1120,46.25
Brüttelen,BE,582,6.62
Brütten,ZH,2063,6.65
Bubendorf,BL,4353,10.85
Bubikon,ZH,7371,11.61
Buch (SH),SH,323,3.81
Buch am Irchel,ZH,1022,10.16
Buchberg,SH,867,5.85
Buchegg,SO,2522,22.71
Buchholterberg,BE,1519,15.28
Buchillon,VD,687,2.13
Buchrain,LU,6400,4.79
Buchs (AG),AG,8121,5.32
Buchs (SG),SG,13053,15.94
Buchs (ZH),ZH,6555,5.87
Buckten,BL,702,2.02
Büetigen,BE,894,3.61
Bühl,BE,482,2.96
Bühler,AR,1860,5.59
Bülach,ZH,21998,16.06
Bulle,FR,24412,23.86
Bullet,VD,658,16.90
Bünzen,AG,1128,5.78
