Gemeinde,Kanton,Einwohner,Fläche
Hildisrieden,LU,2437,6.99
Hilterfingen,BE,4094,2.80
Himmelried,SO,961,6.05
Hindelbank,BE,2638,9.70
Hinwil,ZH,11354,22.27
Hirschthal,AG,1645,3.54
Hittnau,ZH,3733,12.99
Hitzkirch,LU,5916,27.59
Hochdorf,LU,9872,9.56
Hochfelden,ZH,2020,6.18
Höchstetten,BE,279,2.57
Hochwald,SO,1275,8.29
Hofstetten bei Brienz,BE,531,8.73
Hofstetten-Flüh,SO,3206,7.52
Hohenrain,LU,2429,23.33
Hohentannen,TG,612,8.00
Holderbank (AG),AG,1408,2.33
Holderbank (SO),SO,705,7.78
Hölstein,BL,2560,5.97
Holziken,AG,1543,2.86
Homberg,BE,510,6.48
Hombrechtikon,ZH,8815,12.20
Homburg,TG,1543,24.15
Honau,LU,414,1.24
Horgen,ZH,23090,30.75
Höri,ZH,2951,4.77
Horn,TG,2888,1.75
Horrenbach-Buchen,BE,226,20.41
Horriwil,SO,836,2.62
Horw,LU,14211,12.85
Hospental,UR,182,35.13
Hubersdorf,SO,725,1.37
Humlikon,ZH,484,3.68
Hundwil,AR,968,24.19
Hünenberg,ZG,8768,18.40
Hüniken,SO,153,1.01
Hüntwangen,ZH,1067,4.90
Hunzenschwil,AG,4209,3.26
Hüttikon,ZH,951,1.60
Hüttlingen,TG,829,11.65
Huttwil,BE,5009,17.31
Hüttwilen,TG,1765,17.63
Icogne,VS,633,24.93
Iffwil,BE,428,5.07
Ilanz/Glion,GR,4797,133.44
Illgau,SZ,795,10.98
Illnau-Effretikon,ZH,17352,32.91
Inden,VS,115,9.79
Ingenbohl,SZ,8977,13.42
Inkwil,BE,628,3.38
Innerthal,SZ,178,50.19
Innertkirchen,BE,1072,236.54
Ins,BE,3560,23.91
Interlaken,BE,5719,4.29
Inwil,LU,2706,10.29
Ipsach,BE,3913,1.89
Iseltwald,BE,415,21.92
Isenthal,UR,476,60.96
Isérables,VS,827,15.31
Islisberg,AG,643,1.64
Isone,TI,395,12.91
Itingen,BL,2186,3.11
Ittigen,BE,11430,4.22
Jaberg,BE,306,1.28
Jaun,FR,633,55.24
Jegenstorf,BE,5738,13.52
Jenaz,GR,1147,25.95
Jenins,GR,915,10.50
Jens,BE,633,4.62
Jonen,AG,2210,5.69
Jongny,VD,1671,2.16
Jonschwil,SG,3873,11.05
Jorat-Menthue,VD,1602,17.70
Jorat-Mézières,VD,2968,11.11
Jouxtens-Mézery,VD,1412,1.92
Juriens,VD,336,9.32
Jussy,GE,1233,11.35
Kaiseraugst,AG,5550,4.90
Kaisten,AG,2754,18.09
Kallern,AG,399,2.67
Kallnach,BE,2220,18.05
Kaltbrunn,SG,4976,18.56
Kammersrohr,SO,32,0.94
Kandergrund,BE,807,32.11
Kandersteg,BE,1288,134.24
Känerkinden,BL,535,1.43
Kappel (SO),SO,3278,5.13
Kappel am Albis,ZH,1245,7.82
Kappelen,BE,1420,10.88
Kaufdorf,BE,1073,2.06
Kehrsatz,BE,4380,4.45
Kemmental,TG,2603,25.08
Kernenried,BE,547,3.32
Kerns,OW,6332,92.59
Kerzers,FR,5037,12.26
Kesswil,TG,998,4.41
Kestenholz,SO,1848,8.61
Kienberg,SO,503,8.56
Kiesen,BE,1012,4.68
Kilchberg (BL),BL,161,1.60
Kilchberg (ZH),ZH,9207,2.59
Killwangen,AG,2051,2.41
Kippel,VS,310,11.68
Kirchberg (BE),BE,5919,9.02
Kirchberg (SG),SG,9241,42.56
Kirchdorf (BE),BE,1796,14.63
Kirchleerau,AG,898,4.35
Kirchlindach,BE,3200,11.92
Kleinandelfingen,ZH,2104,10.29
Kleinbösingen,FR,699,3.03
Kleinlützel,SO,1218,16.34
Klingnau,AG,3540,6.72
Klosters,GR,4416,219.89
Kloten,ZH,20429,19.33
Knonau,ZH,2369,6.49
Knutwil,LU,2271,9.73
Koblenz,AG,1671,4.06
Kölliken,AG,4559,8.84
Köniz,BE,42388,51.06
Konolfingen,BE,5451,12.71
Koppigen,BE,2104,6.93
Kradolf-Schönenberg,TG,3677,10.94
Krattigen,BE,1130,5.99
Krauchthal,BE,2384,19.37
Kreuzlingen,TG,22390,11.48
Kriechenwil,BE,441,4.78
Kriegstetten,SO,1292,1.12
Kriens,LU,28245,27.25
Küblis,GR,891,8.13
Künten,AG,1838,4.89
Küsnacht (ZH),ZH,14811,12.32
Küssnacht (SZ),SZ,13531,29.46
Küttigen,AG,6295,11.89
L'Abbaye,VD,1474,31.91
L'Abergement,VD,256,5.81
L'Isle,VD,1064,16.26
La Baroche,JU,1135,31.13
La Brévine,NE,624,41.93
La Brillaz,FR,2080,10.28
La Chaux (Cossonay),VD,392,6.77
La Chaux-de-Fonds,NE,36915,55.74
La Chaux-des-Breuleux,JU,96,4.05
La Chaux-du-Milieu,NE,514,17.36
La Côte-aux-Fées,NE,458,12.86
La Ferrière,BE,530,14.17
La Grande-Béroche,NE,8825,42.21
La Neuveville,BE,3780,6.80
La Praz,VD,175,5.11
La Punt Chamues-ch,GR,686,63.22
La Rippe,VD,1137,16.56
La Roche,FR,1821,24.03
La Sagne,NE,1058,25.61
La Sarraz,VD,2595,7.75
La Sonnaz,FR,1233,6.93
La Tène,NE,5176,5.32
La Tour-de-Peilz,VD,12068,3.27
La Verrerie,FR,1301,13.45
Laax,GR,1974,31.68
Lachen,SZ,9137,2.40
Laconnex,GE,710,3.82
Lajoux (JU),JU,671,12.39
Lalden,VS,668,1.28
Lamone,TI,1694,1.86
Lampenberg,BL,520,4.04
Lancy,GE,33989,4.84
Landiswil,BE,619,10.26
Landquart,GR,8857,18.92
Langenbruck,BL,951,15.70
Langendorf,SO,3775,1.96
Langenthal,BE,15959,21.14
Langnau am Albis,ZH,7902,8.67
Langnau im Emmental,BE,9262,48.38
Langrickenbach,TG,1337,10.85
Lantsch/Lenz,GR,560,21.83
Lauenen,BE,828,58.55
Lauerz,SZ,1136,9.18
Läufelfingen,BL,1270,8.14
Laufen,BL,5777,11.35
Laufen-Uhwiesen,ZH,1779,6.29
Laufenburg,AG,3659,14.45
Laupen,BE,3230,4.10
Laupersdorf,SO,1810,15.55
Lauperswil,BE,2663,21.17
Lausanne,VD,140202,41.37
Lausen,BL,5463,5.54
Lauterbrunnen,BE,2301,164.36
Lauwil,BL,308,7.32
Lavertezzo,TI,1245,0.90
Lavey-Morcles,VD,944,14.16
Lavigny,VD,1006,3.97
Lavizzara,TI,500,187.53
Lax,VS,329,5.42
Le Bémont (JU),JU,324,11.67
Le Cerneux-Péquignot,NE,313,15.68
Le Châtelard,FR,349,7.47
Le Chenit,VD,4595,99.18
Le Flon,FR,1223,9.58
Le Grand-Saconnex,GE,12378,4.36
Le Landeron,NE,4642,10.23
Le Lieu,VD,887,32.52
Le Locle,NE,9864,34.66
Le Mont-sur-Lausanne,VD,9144,9.72
Le Mouret,FR,3148,18.60
Le Noirmont,JU,1914,20.39
Le Pâquier (FR),FR,1338,4.49
Le Vaud,VD,1364,3.13
Leibstadt,AG,1404,6.38
Leimbach (AG),AG,489,1.13
Leissigen,BE,1171,10.41
Lengnau (AG),AG,2770,12.64
Lengnau (BE),BE,5316,7.43
Lengwil,TG,1730,8.84
Lenk,BE,2314,123.07
Lens,VS,4317,14.01
Lenzburg,AG,11024,11.35
Les Bois,JU,1246,24.65
Les Breuleux,JU,1528,10.82
Les Clées,VD,187,7.04
Les Enfers,JU,149,7.07
Les Genevez (JU),JU,516,13.62
Les Montets,FR,1535,10.31
Les Planchettes,NE,210,11.69
Les Ponts-de-Martel,NE,1230,18.13
Les Verrières,NE,646,28.86
Leuggern,AG,2180,13.73
Leuk,VS,3991,55.13
Leukerbad,VS,1329,67.32
Leutwil,AG,745,3.76
Leuzigen,BE,1295,10.25
Leysin,VD,3623,18.54
Leytron,VS,3230,26.88
Lichtensteig,SG,1879,2.83
Liddes,VS,735,58.66
Liedertswil,BL,161,1.94
Liesberg,BL,1101,12.47
Liestal,BL,14769,18.17
Ligerz,BE,545,1.75
Lignerolle,VD,435,10.62
Lignières,NE,979,12.51
Lindau,ZH,5585,11.92
Linden,BE,1304,13.25
Linescio,TI,42,6.60
Locarno,TI,15728,18.79
Lohn (SH),SH,745,4.88
Lohn-Ammannsegg,SO,2870,4.52
Löhningen,SH,1498,6.85
Lommis,TG,1243,8.63
Lommiswil,SO,1587,5.77
Lonay,VD,2675,3.71
Longirod,VD,495,9.48
Losone,TI,6647,9.26
Lostallo,GR,840,50.90
Lostorf,SO,3963,13.27
Lotzwil,BE,2663,6.20
Lovatens,VD,142,3.47
Loveresse,BE,349,4.70
Lucens,VD,4298,19.29
Lufingen,ZH,2562,5.18
Lugano,TI,62315,75.98
Lugnez,JU,188,5.12
Luins,VD,619,2.64
Lully (FR),FR,1156,5.44
Lully (VD),VD,823,2.05
Lumino,TI,1587,10.17
Lumnezia,GR,1996,165.44
Lungern,OW,2138,46.49
Lupfig,AG,3157,8.45
Lupsingen,BL,1440,3.14
Lüscherz,BE,559,5.37
Lussery-Villars,VD,458,3.74
Lüsslingen-Nennigkofen,SO,1101,7.81
Lussy-sur-Morges,VD,722,2.36
Luterbach,SO,3555,4.55
Lüterkofen-Ichertswil,SO,878,4.39
Lüterswil-Gächliwil,SO,339,3.10
Luthern,LU,1245,37.83
Lütisburg,SG,1614,14.05
Lutry,VD,10459,8.43
Lütschental,BE,214,12.29
Lützelflüh,BE,4211,26.86
Lutzenberg,AR,1271,2.25
Luzein,GR,1596,83.82
Luzern,LU,82620,29.07
Lyss,BE,15763,14.87
Lyssach,BE,1466,6.04
Madiswil,BE,3284,23.16
Madulain,GR,206,16.35
Magden,AG,3872,11.01
Mägenwil,AG,2139,3.49
Maggia,TI,2611,111.17
Magliaso,TI,1600,1.10
Maienfeld,GR,3029,32.37
Maisprach,BL,931,5.02
Malans,GR,2462,11.38
Malters,LU,7410,28.60
Mammern,TG,677,5.47
Mandach,AG,325,5.56
Männedorf,ZH,11397,4.76
Manno,TI,1290,2.38
Maracon,VD,537,4.44
Marbach (SG),SG,2139,4.41
Marchissy,VD,483,11.94
Marly,FR,8222,7.71
Marsens,FR,2034,7.83
Märstetten,TG,2896,9.93
Marthalen,ZH,1933,14.15
Martigny,VS,20276,32.59
Martigny-Combe,VS,2333,37.45
Maschwanden,ZH,641,4.68
Masein,GR,500,4.19
Massagno,TI,6272,0.74
Massongex,VS,1923,6.61
Massonnens,FR,548,4.30
Mathod,VD,651,6.60
Matran,FR,1620,2.92
Matten bei Interlaken,BE,4060,5.99
Mattstetten,BE,580,3.78
Matzendorf,SO,1321,11.29
Matzingen,TG,3029,7.69
Mauborget,VD,127,5.52
Mauensee,LU,1489,7.23
Maur,ZH,10780,14.81
Mauraz,VD,59,0.50
Medel (Lucmagn),GR,344,136.22
Meggen,LU,7562,7.25
Meienried,BE,53,0.65
Meierskappel,LU,1477,6.75
Meikirch,BE,2526,10.24
Meilen,ZH,14539,11.88
Meinier,GE,2115,6.94
Meinisberg,BE,1326,4.37
Meiringen,BE,4666,40.67
Meisterschwanden,AG,3032,4.28
Melchnau,BE,1488,10.37
Melide,TI,1830,1.64
Mellikon,AG,228,2.71
Mellingen,AG,5865,4.82
Mels,SG,8716,139.16
Meltingen,SO,655,5.76
Mendrisio,TI,14902,31.72
Ménières,FR,427,4.35
Menziken,AG,6518,6.40
Menzingen,ZG,4540,27.46
Menznau,LU,2966,30.38
Merenschwand,AG,3712,13.53
Mergoscia,TI,201,12.15
Merishausen,SH,877,17.54
Mervelier,JU,528,9.76
Merzligen,BE,389,2.26
Mesocco,GR,1323,164.75
Messen,SO,1471,11.90
Mettauertal,AG,2067,21.59
Mettembert,JU,108,2.36
Mettmenstetten,ZH,5380,13.07
Metzerlen-Mariastein,SO,938,8.50
Mex (VD),VD,790,2.90
Meyriez,FR,590,0.34
Meyrin,GE,26129,9.90
Mézières (FR),FR,1062,8.95
Mezzovico-Vira,TI,1387,11.13
Mies,VD,2165,3.51
Miglieglia,TI,324,5.14
Milvignes,NE,9063,8.82
Minusio,TI,7356,5.84
Mirchel,BE,616,2.35
Misery-Courtion,FR,2225,11.39
Missy,VD,368,3.05
Möhlin,AG,11088,18.81
Moiry,VD,311,6.68
Mollens (VD),VD,330,11.06
Molondin,VD,252,5.52
Mönchaltorf,ZH,4082,7.61
Mont-la-Ville,VD,490,19.81
Mont-Noble,VS,1102,43.85
Mont-sur-Rolle,VD,2658,3.85
Mont-Tramelan,BE,111,4.71
Mont-Vully,FR,4123,17.50
Montagny (FR),FR,2712,17.52
Montagny-près-Yverdon,VD,738,3.51
Montanaire,VD,2777,33.47
Montcherand,VD,505,3.04
Monteceneri,TI,4535,36.00
Montet (Glâne),FR,444,2.22
Montfaucon,JU,572,18.24
Mönthal,AG,393,3.93
Monthey,VS,17820,28.65
Montilliez,VD,1858,11.84
Montpreveyres,VD,653,4.16
Montreux,VD,26090,33.46
Montricher,VD,964,25.95
Moosleerau,AG,915,3.86
Moosseedorf,BE,4092,6.36
Morbio Inferiore,TI,4441,2.28
Morcote,TI,734,2.78
Mörel-Filet,VS,707,8.50
Morges,VD,16101,3.87
Mörigen,BE,875,2.20
Möriken-Wildegg,AG,4561,6.60
Morlon,FR,643,2.61
Morrens (VD),VD,1154,3.71
Morschach,SZ,1151,20.85
Mörschwil,SG,3676,9.86
Mosnang,SG,2889,50.55
Moudon,VD,6101,15.65
Moutier,BE,7348,19.69
Movelier,JU,415,8.06
Muhen,AG,3985,7.02
Mühlau,AG,1218,5.52
Mühleberg,BE,2997,26.29
Müllheim,TG,3002,8.77
Mülligen,AG,1074,3.18
Mümliswil-Ramiswil,SO,2386,35.40
Mumpf,AG,1543,3.15
Münchenbuchsee,BE,10233,8.84
Münchenstein,BL,12063,7.18
Münchenwiler,BE,518,2.48
Münchwilen (AG),AG,1007,2.48
Münchwilen (TG),TG,5830,7.81
Münsingen,BE,12966,15.84
Münsterlingen,TG,3512,5.46
Muntelier,FR,976,1.14
Muntogna da Schons,GR,363,53.59
Müntschemier,BE,1561,4.86
Muolen,SG,1224,10.37
Muotathal,SZ,3470,172.16
Muralto,TI,2604,0.59
Murgenthal,AG,2959,18.61
Muri (AG),AG,8244,12.32
Muri bei Bern,BE,13182,7.59
Muriaux,JU,490,16.89
Murten,FR,9358,36.41
Mutrux,VD,148,3.22
Muttenz,BL,17938,16.61
Muzzano,TI,787,1.52
Naters,VS,10290,147.36
Nebikon,LU,2713,3.73
Neckertal,SG,4064,48.95
Neerach,ZH,3229,6.00
Neftenbach,ZH,5756,15.05
Neggio,TI,322,0.89
Nendaz,VS,6805,85.89
Nenzlingen,BL,447,3.68
Nesslau,SG,3608,92.62
Neuchâtel,NE,44531,30.08
Neuendorf,SO,2277,7.14
Neuenegg,BE,5601,21.90
Neuenhof,AG,8954,5.41
Neuenkirch,LU,7174,25.46
Neuhausen am Rheinfall,SH,10467,7.99
Neuheim,ZG,2240,7.93
Neunforn,TG,1086,11.35
Neunkirch,SH,2404,17.88
Neyruz,FR,2757,5.56
Nidau,BE,6943,1.53
Niederbipp,BE,5097,19.77
Niederbuchsiten,SO,1260,5.47
Niederbüren,SG,1507,15.82
Niederdorf,BL,1822,4.37
Niedergesteln,VS,744,17.69
Niederglatt,ZH,4938,3.61
Niedergösgen,SO,3897,4.32
Niederhasli,ZH,9449,11.29
Niederhelfenschwil,SG,3181,16.37
Niederhünigen,BE,657,5.40
Niederlenz,AG,4841,3.29
Niedermuhlern,BE,512,7.19
Niederönz,BE,1691,2.81
Niederried bei Interlaken,BE,368,4.26
Niederrohrdorf,AG,4225,3.34
Niederweningen,ZH,3089,6.85
Niederwil (AG),AG,2863,6.07
Noble-Contrée,VS,4550,6.50
Nods,BE,788,26.60
Nottwil,LU,4048,10.33
Novaggio,TI,821,4.33
Novalles,VD,100,2.01
Novazzano,TI,2338,5.21
Noville,VD,1178,10.40
Nuglar-St. Pantaleon,SO,1516,6.34
Nunningen,SO,1914,10.25
Nürensdorf,ZH,5628,10.09
Nusshof,BL,259,1.73
Nuvilly,FR,471,3.95
Nyon,VD,21718,6.87
Oberägeri,ZG,6382,30.03
Oberbalm,BE,866,12.34
Oberbipp,BE,1753,8.45
Oberbuchsiten,SO,2296,9.36
Oberbüren,SG,4576,17.80
Oberburg,BE,2937,14.12
Oberdiessbach,BE,3552,16.52
Oberdorf (BL),BL,2432,6.29
Oberdorf (NW),NW,3080,16.10
Oberdorf (SO),SO,1776,11.89
Oberegg,AI,1926,14.61
Oberembrach,ZH,1105,10.19
Oberems,VS,120,50.19
Oberengstringen,ZH,6721,2.13
Oberentfelden,AG,8568,7.21
Obergerlafingen,SO,1247,1.50
Oberglatt,ZH,7386,8.26
Obergoms,VS,654,155.93
Obergösgen,SO,2359,3.62
Oberhallau,SH,447,6.03
Oberhelfenschwil,SG,1241,12.71
Oberhof,AG,570,8.15
Oberhofen am Thunersee,BE,2445,2.75
Oberhünigen,BE,316,6.04
Oberiberg,SZ,878,33.18
Oberkirch,LU,4937,9.11
Oberkulm,AG,2776,9.43
Oberlangenegg,BE,483,9.13
Oberlunkhofen,AG,2079,3.27
Obermumpf,AG,1048,5.03
Oberried am Brienzersee,BE,461,20.18
Oberrieden,ZH,5122,2.76
Oberriet (SG),SG,8996,34.55
Oberrohrdorf,AG,4037,4.32
Oberrüti,AG,1544,5.34
Obersaxen Mundaun,GR,1164,70.31
Obersiggenthal,AG,8661,8.37
Oberthal,BE,721,10.55
Oberuzwil,SG,6491,14.09
Oberweningen,ZH,1897,4.91
Oberwil (BL),BL,11104,7.87
Oberwil bei Büren,BE,887,6.75
Oberwil im Simmental,BE,804,45.91
Oberwil-Lieli,AG,2501,5.36
Obfelden,ZH,5779,7.56
Ochlenberg,BE,563,12.10
Oekingen,SO,878,2.39
Oensingen,SO,6276,12.07
Oeschenbach,BE,220,3.88
Oeschgen,AG,1049,4.42
Oetwil am See,ZH,4857,6.09
Oetwil an der Limmat,ZH,2529,2.77
Oftringen,AG,14455,12.88
Ogens,VD,301,3.38
Ollon,VD,7624,59.53
Olsberg,AG,356,4.64
Olten,SO,18496,11.46
Oltingen,BL,506,7.20
Onex,GE,18933,2.82
Onnens (VD),VD,506,5.13
Onsernone,TI,663,105.27
Opfikon,ZH,20954,5.60
Oppens,VD,204,3.62
Oppligen,BE,638,3.41
Orbe,VD,7108,12.04
Orges,VD,343,4.06
Origlio,TI,1497,2.08
Ormalingen,BL,2282,6.94
Ormont-Dessous,VD,1182,64.10
Ormont-Dessus,VD,1467,61.60
Orny,VD,462,5.51
Oron,VD,6054,26.28
Orpund,BE,3052,3.94
Orselina,TI,706,1.94
Orsières,VS,3194,164.91
Orvin,BE,1198,21.62
Orzens,VD,201,4.21
Ossingen,ZH,1724,13.09
Ostermundigen,BE,17758,5.97
Otelfingen,ZH,2943,7.19
Othmarsingen,AG,3037,4.72
Ottenbach,ZH,2704,5.01
Oulens-sous-Echallens,VD,617,5.87
Pailly,VD,568,5.76
Paradiso,TI,4368,0.89
Paudex,VD,1540,0.49
Payerne,VD,10069,24.22
Penthalaz,VD,3207,3.85
Penthaz,VD,1855,3.85
Penthéréaz,VD,419,5.71
Perly-Certoux,GE,3127,2.56
Perrefitte,BE,481,8.61
Perroy,VD,1518,2.87
Personico,TI,326,38.91
Péry-La Heutte,BE,1908,23.75
Petit-Val,BE,392,23.82
Pfäfers,SG,1528,128.41
Pfäffikon,ZH,12174,19.51
Pfaffnau,LU,2674,17.66
Pfeffingen,BL,2408,4.86
Pfungen,ZH,3948,4.99
Pfyn,TG,2103,13.07
Pierrafortscha,FR,157,5.07
Pieterlen,BE,4784,8.37
Plaffeien,FR,3613,66.61
Plan-les-Ouates,GE,10601,5.82
Plasselb,FR,1010,18.16
Plateau de Diesse,BE,2056,25.62
Pleigne,JU,349,17.81
Pohlern,BE,232,9.89
Poliez-Pittet,VD,830,4.97
Pollegio,TI,800,5.98
Pompaples,VD,847,4.44
Pomy,VD,807,5.60
Pont-en-Ogoz,FR,1951,10.13
Pont-la-Ville,FR,609,4.36
Ponte Capriasca,TI,1871,6.21
Ponthaux,FR,779,5.93
Pontresina,GR,2178,118.21
Porrentruy,JU,6434,14.79
Port,BE,3801,2.43
Port-Valais,VS,4283,14.37
Porza,TI,1547,1.54
Poschiavo,GR,3441,190.97
Prangins,VD,4099,6.05
Prato (Leventina),TI,388,16.82
Pratteln,BL,16606,10.74
Pregny-Chambésy,GE,3803,3.25
Premier,VD,218,6.05
Presinge,GE,696,4.72
Préverenges,VD,5242,1.85
Prévondavaux,FR,83,1.83
Prévonloup,VD,202,1.81
Prez,FR,2345,16.05
Prilly,VD,12360,2.19
Provence,VD,392,31.88
Puidoux,VD,2888,22.80
Pully,VD,18694,5.94
Puplinge,GE,2488,2.65
Pura,TI,1346,3.09
Quarten,SG,2988,61.69
Quinto,TI,995,75.28
Radelfingen,BE,1272,14.71
Rafz,ZH,4628,10.71
Rain,LU,2940,9.44
Ramlinsburg,BL,721,2.26
Ramsen,SH,1465,13.45
Rances,VD,513,9.88
Randa,VS,425,54.44
Raperswilen,TG,416,7.72
Rapperswil (BE),BE,2592,22.55
Rapperswil-Jona,SG,27483,22.15
Raron,VS,1949,30.27
Realp,UR,142,77.81
Rebévelier,BE,41,3.55
Rebstein,SG,4640,4.35
Recherswil,SO,2028,3.34
Rechthalten,FR,1106,7.29
Reconvilier,BE,2380,8.24
Regensberg,ZH,459,2.39
Regensdorf,ZH,18568,14.60
Rehetobel,AR,1726,6.71
Reichenbach im Kandertal,BE,3638,125.78
Reichenburg,SZ,3891,11.54
Reiden,LU,7255,27.00
Reigoldswil,BL,1585,9.18
Reinach (AG),AG,8874,9.55
Reinach (BL),BL,19159,6.93
Reisiswil,BE,173,1.97
Reitnau,AG,1519,7.98
Remaufens,FR,1212,5.90
Remetschwil,AG,2023,3.85
Remigen,AG,1326,7.89
Renan (BE),BE,934,12.64
Renens (VD),VD,20834,2.95
Rennaz,VD,892,2.18
Reute (AR),AR,690,4.95
Reutigen,BE,1023,11.28
Rhäzüns,GR,1611,13.28
Rheinau,ZH,1287,8.93
Rheineck,SG,3404,2.22
Rheinfelden,AG,13551,16.05
Rheinwald,GR,574,136.82
Riaz,FR,2815,7.78
Richterswil,ZH,13670,7.53
Rickenbach (BL),BL,608,2.92
Rickenbach (LU),LU,3458,11.78
Rickenbach (SO),SO,1055,2.76
Rickenbach (TG),TG,2826,1.59
Rickenbach (ZH),ZH,2796,6.05
Riddes,VS,3277,23.89
Ried bei Kerzers,FR,1229,7.54
Ried-Brig,VS,2141,47.61
Riederalp,VS,438,19.04
Riedholz,SO,2316,7.17
Riehen,BS,21705,10.89
Riemenstalden,SZ,86,11.21
Rifferswil,ZH,1148,6.58
Riggisberg,BE,3034,34.50
Ringgenberg (BE),BE,2588,8.74
Riniken,AG,1482,4.76
Risch,ZG,11212,14.82
Riva San Vitale,TI,2626,6.08
Rivaz,VD,337,0.31
Riviera,TI,4252,86.57
Roche (VD),VD,1867,6.42
Rochefort,NE,1291,25.79
Roches (BE),BE,190,9.03
Rodersdorf,SO,1375,5.32
Roggenburg,BL,269,6.68
Roggliswil,LU,723,6.22
Roggwil (BE),BE,4176,7.84
Roggwil (TG),TG,3257,11.93
Rohrbach,BE,1520,4.08
Rohrbachgraben,BE,390,6.46
Rolle,VD,6260,2.72
Romainmôtier-Envy,VD,526,6.99
Romanel-sur-Lausanne,VD,3240,2.92
Romanel-sur-Morges,VD,467,1.71
Romanshorn,TG,11327,8.69
Römerswil,LU,1810,16.68
Romont (BE),BE,202,6.94
Romont (FR),FR,5417,10.88
Romoos,LU,656,37.35
Ronco sopra Ascona,TI,550,4.99
Rongellen,GR,56,2.04
Root,LU,5335,8.65
Ropraz,VD,529,4.77
Rorbas,ZH,2885,4.50
Rorschach,SG,9646,1.77
Rorschacherberg,SG,7465,7.12
Röschenz,BL,1898,10.02
Rossa,GR,151,58.93
Rossemaison,JU,687,1.93
Rossenges,VD,84,1.06
Rossinière,VD,534,23.35
Röthenbach im Emmental,BE,1169,36.80
Rothenbrunnen,GR,304,3.10
Rothenburg,LU,7715,15.49
Rothenfluh,BL,783,10.91
Rothenthurm,SZ,2484,22.76
Rothrist,AG,9290,11.82
Rottenschwil,AG,911,4.46
Rougemont,VD,864,48.54
Roveredo (GR),GR,2597,38.77
Rovray,VD,202,3.23
Rubigen,BE,2892,6.94
Rüderswil,BE,2373,17.19
Rüdlingen,SH,803,5.53
Rudolfstetten-Friedlisberg,AG,4546,4.88
Rüdtligen-Alchenflüh,BE,2444,2.71
Rue,FR,1537,11.27
Rüeggisberg,BE,1765,35.75
Rüegsau,BE,3265,15.03
Rueyres,VD,266,1.99
Rüfenach,AG,863,4.18
Rumendingen,BE,81,2.48
Rumisberg,BE,491,5.13
Rümlang,ZH,8277,12.42
Rümlingen,BL,434,2.28
Rünenberg,BL,761,4.96
Rupperswil,AG,5618,6.16
Rüschegg,BE,1697,57.30
Rüschlikon,ZH,6113,2.93
Russikon,ZH,4410,14.27
Russin,GE,530,4.93
Ruswil,LU,7041,45.30
Rüthi (SG),SG,2445,9.32
Rüti (ZH),ZH,12494,10.09
Rüti bei Büren,BE,867,6.50
Rüti bei Lyssach,BE,172,1.33
Rütschelen,BE,564,4.01
Rüttenen,SO,1483,8.79
S-chanf,GR,697,138.02
Saanen,BE,6836,120.07
Saas-Almagell,VS,364,110.52
Saas-Balen,VS,351,30.29
Saas-Fee,VS,1559,40.33
Saas-Grund,VS,990,24.79
Sachseln,OW,5145,53.86
Safenwil,AG,4107,6.03
Safiental,GR,937,151.42
Safnern,BE,1951,5.64
Sagogn,GR,736,6.95
Saicourt,BE,645,13.80
Saignelégier,JU,2615,31.76
Saillon,VS,2818,13.68
Saint-Aubin (FR),FR,1886,7.91
Saint-Barthélemy (VD),VD,783,4.14
Saint-Blaise,NE,3258,8.87
Saint-Brais,JU,227,15.14
Saint-Cergue,VD,2674,24.26
Saint-George,VD,1073,12.32
Saint-Gingolph,VS,964,14.46
Saint-Imier,BE,5156,20.80
Saint-Léonard,VS,2460,3.88
Saint-Livres,VD,684,8.11
Saint-Martin (FR),FR,1026,9.76
Saint-Martin (VS),VS,842,36.94
Saint-Maurice,VS,4518,14.89
Saint-Oyens,VD,460,3.04
Saint-Prex,VD,5855,5.49
Saint-Saphorin (Lavaux),VD,389,0.89
Saint-Sulpice (VD),VD,4914,1.82
Sainte-Croix,VD,4933,39.36
Salenstein,TG,1411,6.49
Sâles,FR,1452,18.81
Salgesch,VS,1567,11.40
Salmsach,TG,1481,2.64
Salvan,VS,1442,53.40
Samedan,GR,2923,113.96
Samnaun,GR,784,56.15
San Vittore,GR,864,22.03
Sant'Antonino,TI,2542,6.56
Santa Maria in Calanca,GR,115,9.32
Sargans,SG,6213,9.46
Sarmenstorf,AG,2913,8.27
Sarnen,OW,10514,73.15
Satigny,GE,4286,18.91
Sattel,SZ,1925,17.35
Saubraz,VD,423,3.69
Sauge,BE,827,13.46
Saulcy,JU,255,7.92
Saules (BE),BE,147,4.26
Savièse,VS,7937,70.99
Savigny,VD,3349,16.10
Savosa,TI,2219,0.75
Saxeten,BE,92,19.42
Saxon,VS,6278,23.22
Schaffhausen,SH,36952,41.94
Schafisheim,AG,3044,6.34
Schangnau,BE,918,36.52
Schänis,SG,3923,39.88
Scharans,GR,796,14.29
Schattdorf,UR,5408,16.29
Schattenhalb,BE,552,31.55
Schelten,BE,39,5.54
Schenkon,LU,3040,6.77
Scheuren,BE,475,2.10
Schiers,GR,2727,61.72
Schinznach,AG,2319,12.23
Schlatt (TG),TG,1814,15.51
Schlatt (ZH),ZH,779,9.04
Schlatt-Haslen,AI,1126,17.89
Schleinikon,ZH,858,5.66
Schleitheim,SH,1668,21.53
Schlierbach,LU,925,7.22
